ID_VERTICE,LONGITUDE,LATITUDE
1,116.5340689,39.8418001
2,116.5311999,39.8396604
3,116.4309655,39.9142751
4,116.4309512,39.9158593
5,116.3872669,39.9376577
6,116.3872408,39.9376208
7,116.4939513,39.866699
8,116.4939442,39.8662335
9,116.3455845,40.0238671
10,116.3457006,40.0233
11,116.5773783,39.8272632
12,116.5760287,39.8280991
13,116.3732388,39.9367409
14,116.3733563,39.9367445
15,116.7568192,39.9338211
16,116.7568263,39.9331557
17,116.7081204,39.9116898
18,116.7081218,39.9114857
19,116.3501937,39.9184032
20,116.3503717,39.9145814
21,116.4420315,39.9476178
22,116.4421143,39.9476914
23,116.3127279,39.9711804
24,116.3128491,39.9712105
25,116.4000543,40.0633138
26,116.403024,40.0632908
27,116.3632639,40.0597587
28,116.3632381,40.0598307
29,116.014688,39.6735898
30,116.0146077,39.6736809
31,116.3288676,39.7752927
32,116.3290082,39.7752818
33,116.4011589,39.9091622
34,116.401165,39.9095794
35,116.3048554,39.8543783
36,116.3045882,39.8552244
37,116.3312152,39.7176014
38,116.337848,39.7173885
39,116.5368891,39.8067709
40,116.537161,39.8068715
41,116.1606341,39.738019
42,116.1604648,39.7380211
43,116.3207036,40.0575138
44,116.3212357,40.0577398
45,116.2281838,40.1990046
46,116.228367,40.1955634
47,116.2981882,40.2302002
48,116.3012589,40.2294893
49,116.142817,39.6983849
50,116.1426174,39.6983977
51,116.2169933,39.6221154
52,116.2163354,39.6212113
53,116.1014544,39.8034543
54,116.1013793,39.8047071
55,116.3623803,40.0320373
56,116.3612022,40.0345453
57,116.7668701,39.8529898
58,116.7692492,39.8530514
59,115.8302574,39.6456046
60,115.830429,39.6455715
61,116.3492392,39.8803972
62,116.3492267,39.8795216
63,115.7530527,39.5331625
64,115.757164,39.5337582
65,116.1143243,39.8104347
66,116.114217,39.8100089
67,116.4328406,39.8923844
68,116.4328443,39.8922607
69,116.4042257,40.0255063
70,116.4051389,40.0314215
71,116.6164982,39.9055537
72,116.6161263,39.9057036
73,116.1880823,39.8291987
74,116.1889194,39.8274343
75,116.1718555,39.8511667
76,116.1719013,39.8509032
77,116.5101278,39.9587179
78,116.5094372,39.959755
79,116.8351296,39.8129519
80,116.8310904,39.812089
81,116.3091112,40.0176487
82,116.3097706,40.0170604
83,116.3237589,40.0544966
84,116.3666904,39.8982535
85,116.3670352,39.8980753
86,116.3731059,39.9865155
87,116.3728628,39.9865004
88,116.691686,40.1686339
89,116.6916681,40.1688261
90,116.3740078,39.9315087
91,116.3740172,39.9316573
92,116.396008,39.8159982
93,116.395958,39.8169915
94,116.3042382,39.9447285
95,116.3042223,39.9450394
96,116.4824408,39.9051843
97,116.4826019,39.9050629
98,116.3285271,39.9217494
99,116.328513,39.9218815
100,116.5084387,39.943456
101,116.5111818,39.9433623
102,116.3404845,39.8492723
103,116.3405205,39.8495509
104,116.3055353,39.9071295
105,116.305535,39.9075657
106,116.2278301,40.1891104
107,116.2281518,40.1884834
108,116.6218866,40.1590017
109,116.6215244,40.1588301
110,116.3142832,39.9651905
111,116.3142087,39.9653277
112,116.3677267,39.9025995
113,116.3678948,39.902634
114,116.3430405,39.865351
115,116.3433432,39.8654978
116,116.3784776,39.8883331
117,116.3784775,39.8881566
118,116.3905887,39.897688
119,116.3912467,39.8974772
120,116.4208195,39.9484224
121,116.4208384,39.9480756
122,116.5082907,40.0104809
123,116.5085295,40.0106942
124,116.3657255,39.6432545
125,116.3791599,39.6444086
126,116.4557131,39.9178844
127,116.4553166,39.9180953
128,116.4525707,39.8315921
129,116.4528046,39.8316155
130,116.2377186,40.0719125
131,116.2380594,40.0720155
132,116.3075968,40.0248972
133,116.3075883,40.0249839
134,116.2951342,40.048002
135,116.2932887,40.0475927
136,116.4152493,39.869625
137,116.4152443,39.8697233
138,116.4548016,39.8811327
139,116.4547817,39.8801688
140,116.1980224,39.9233428
141,116.2004068,39.9233319
142,116.5594779,40.0316244
143,116.5610829,40.0322509
144,115.9922989,39.6986929
145,115.9916224,39.6984858
146,116.0614541,39.7113598
147,116.0567766,39.7106786
148,116.1084681,39.7241723
149,116.1086104,39.7240555
150,116.8792091,40.3821675
151,116.8682275,40.3777236
152,116.6829456,39.4900009
153,116.6829148,39.4901281
154,116.7608354,39.4565243
155,116.7606609,39.4567336
156,116.4933984,39.9758482
157,116.4903345,39.9758614
158,116.2714482,40.0275012
159,116.271455,40.0275656
160,116.4179455,39.8840701
161,116.4174544,39.8847781
162,116.4180529,39.9820847
163,116.4180841,39.981993
164,116.5666908,40.0455782
165,116.5627185,40.0478236
166,116.2917514,40.2327047
167,116.2942444,40.231581
168,116.1954625,39.9173865
169,116.1954591,39.9174761
170,116.4355447,40.0274223
171,116.435657,40.0274252
172,116.2157994,40.2881743
173,116.216662,40.2880239
174,116.2760768,40.029802
175,115.963461,40.3626252
176,115.9635854,40.3626128
177,116.5764247,39.9740276
178,116.5764952,39.9753764
179,116.3932156,39.8659105
180,116.3930478,39.8655488
181,116.4864864,39.9878877
182,116.4864815,39.9884878
183,116.4523084,39.8648416
184,116.452774,39.8645934
185,116.4611425,40.0014554
186,116.4611408,40.0013441
187,116.5128898,39.7491091
188,116.5130875,39.749047
189,116.6423694,40.3469773
190,116.6426435,40.3468302
191,116.4359654,39.9583847
192,116.4334463,39.9599796
193,116.3055597,39.9047721
194,116.3055308,39.9051654
195,116.4955253,39.787655
196,116.4911909,39.785554
197,116.3952272,39.8906527
198,116.3952616,39.8905424
199,116.3045151,39.8966757
200,116.3044915,39.8976973
201,116.2476695,39.8959459
202,116.2476762,39.8955294
203,116.3013976,39.6194424
204,116.3014028,39.6161618
205,116.3032929,39.5014761
206,116.3032676,39.5043683
207,116.9329358,39.7928748
208,116.9330133,39.7927378
209,116.4208744,39.7211818
210,116.4212787,39.7197794
211,116.6695323,39.8773015
212,116.6697161,39.8773399
213,116.3061045,40.2050277
214,116.3059653,40.2047131
215,116.3894982,39.9061898
216,116.389502,39.9059947
217,116.3897581,39.901486
218,116.3897946,39.9004903
219,116.3898158,39.8987502
220,116.3934744,39.8988392
221,116.3933574,39.9015736
222,116.3931584,39.9061173
223,116.3251522,39.9062496
224,116.3232206,39.9061352
225,116.3817888,39.8988597
226,116.3818667,39.8990002
227,116.3817558,39.900629
228,116.3816975,39.9013118
229,116.3816724,39.9024162
230,116.315387,39.9062149
231,116.315548,39.9065059
232,116.315618,39.9097605
233,116.4117253,39.9069042
234,116.4092757,39.9068643
235,116.4070765,39.9068048
236,116.4053075,39.9067541
237,116.4052393,39.9067563
